127.0.0.1 - - [23/Oct/2017:16:31:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:55 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:55 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:55 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:55 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:56 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:56 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:56 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:56 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:31:56 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
