127.0.0.1 - - [04/Oct/2017:15:16:24 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:26 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:27 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:39 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:40 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:42 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:42 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:42 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:43 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:43 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:43 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:50 +0530] "GET /CollaborationFrontEnd/about/about.html HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:50 +0530] "GET /CollaborationFrontEnd/resources/images/sharadau.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:50 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:52 +0530] "GET /CollaborationFrontEnd/contact_us/contact_us.html HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 2932
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/resources/images/blogs.jpg HTTP/1.1" 200 67338
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/resources/images/Chat.png HTTP/1.1" 200 124642
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/resources/images/forum.jpg HTTP/1.1" 200 396477
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/resources/images/events.jpg HTTP/1.1" 200 1206332
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 26602
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:16:56 +0530] "GET /CollaborationFrontEnd/resources/images/friends.jpg HTTP/1.1" 200 45267
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:20 +0530] "GET /CollaborationFrontEnd/resources/images/sharadau.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:20 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:35 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:35 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:35 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:35 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:35 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:18:35 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:20:39 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:21:08 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:21:16 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:21:16 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:22:04 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:22:19 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:22:24 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:22:24 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:30 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:50 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:52 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:52 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [04/Oct/2017:15:24:52 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11582
